date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-10,California,State,Delta,0.0,0.0,1.57142857142,0.306919642857
2021-01-10,California,State,Omicron,1.0,0.62,0.85714285714,0.167410714286
2021-01-10,California,State,Alpha,0.0,0.0,6.71428571428,1.311383928571
2021-01-10,California,State,Epsilon,90.0,56.25,281.42857142857,54.966517857143
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-11,California,State,Delta,2.0,0.35,1.14285714285,0.276816608997
2021-01-11,California,State,Omicron,2.0,0.35,1.14285714285,0.276816608997
2021-01-11,California,State,Epsilon,273.0,48.23,221.57142857142,53.667820069204
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.034602076125
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Other,279.0,49.29,181.57142857142,43.979238754325
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.034602076125
2021-01-11,California,State,Total,566.0,100.0,412.85714285714,100.0
2021-01-11,California,State,Alpha,8.0,1.41,7.14285714285,1.730103806228
2021-01-12,California,State,Total,556.0,100.0,376.28571428571,100.0
2021-01-12,California,State,Alpha,9.0,1.62,6.14285714285,1.632498101746
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Delta,1.0,0.18,1.28571428571,0.341685649203
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.037965072134
2021-01-12,California,State,Omicron,0.0,0.0,1.14285714285,0.303720577069
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.037965072134
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.037965072134
2021-01-12,California,State,Other,241.0,43.35,165.14285714285,43.887623386484
2021-01-12,California,State,Epsilon,304.0,54.68,202.14285714285,53.720577069096
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.035174111854
2021-01-13,California,State,Alpha,9.0,1.55,7.0,1.72353148083
2021-01-13,California,State,Epsilon,339.0,58.55,221.0,54.414351037636
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.035174111854
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Other,228.0,39.38,175.57142857142,43.228983468167
2021-01-13,California,State,Total,579.0,100.0,406.14285714285,100.0
2021-01-13,California,State,Omicron,2.0,0.35,1.14285714285,0.281392894829
2021-01-13,California,State,Delta,1.0,0.17,1.0,0.246218782976
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.035174111854
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031075201989
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031075201989
2021-01-14,California,State,Alpha,14.0,2.08,6.85714285714,1.491609695463
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Epsilon,425.0,63.06,259.57142857142,56.463642013673
2021-01-14,California,State,Total,674.0,100.0,459.71428571428,100.0
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.217526413922
2021-01-14,California,State,Other,235.0,34.87,191.0,41.547545059043
2021-01-14,California,State,Omicron,0.0,0.0,0.85714285714,0.186451211933
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031075201989
2021-01-15,California,State,Delta,2.0,0.35,1.0,0.192413413964
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.164925783397
2021-01-15,California,State,Alpha,8.0,1.41,7.71428571428,1.484332050577
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.027487630566
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.027487630566
2021-01-15,California,State,Epsilon,320.0,56.34,294.0,56.569543705333
2021-01-15,California,State,Other,238.0,41.9,215.71428571428,41.50632215503
2021-01-15,California,State,Total,568.0,100.0,519.71428571428,100.0
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.027487630566
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026055237103
2021-01-16,California,State,Alpha,17.0,2.31,9.28571428571,1.693590411673
2021-01-16,California,State,Omicron,0.0,0.0,0.71428571428,0.130276185513
2021-01-16,California,State,Epsilon,389.0,52.93,305.71428571428,55.758207399687
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026055237103
2021-01-16,California,State,Total,735.0,100.0,548.28571428571,100.0
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026055237103
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.156331422616
2021-01-16,California,State,Other,329.0,44.76,231.28571428571,42.183428869203
2021-01-17,California,State,Omicron,0.0,0.0,0.57142857142,0.100200400802
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.0250501002
2021-01-17,California,State,Other,128.0,40.76,239.71428571428,42.034068136273
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.050100200401
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.703406813627
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.150300601202
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Epsilon,182.0,57.96,318.85714285714,55.911823647295
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.0250501002
2021-01-17,California,State,Total,314.0,100.0,570.28571428571,100.0
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Alpha,13.0,1.74,10.42857142857,1.749341001677
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.047927150731
2021-01-18,California,State,Total,747.0,100.0,596.14285714285,100.0
2021-01-18,California,State,Epsilon,430.0,57.56,341.28571428571,57.248981548047
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.047927150731
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Delta,1.0,0.13,0.71428571428,0.119817876827
2021-01-18,California,State,Other,303.0,40.56,243.14285714285,40.786005271987
2021-01-19,California,State,Other,516.0,42.57,282.42857142857,40.940153240837
2021-01-19,California,State,Delta,1.0,0.08,0.71428571428,0.103541105819
2021-01-19,California,State,Epsilon,675.0,55.69,394.28571428571,57.154690412094
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.020708221164
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Omicron,1.0,0.08,0.42857142857,0.062124663491
2021-01-19,California,State,Alpha,19.0,1.57,11.85714285714,1.718782356596
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Total,1212.0,100.0,689.85714285714,100.0
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-20,California,State,Omicron,0.0,0.0,0.14285714285,0.022217285048
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Alpha,15.0,5.98,12.71428571428,1.977338369251
2021-01-20,California,State,Delta,0.0,0.0,0.57142857142,0.088869140191
2021-01-20,California,State,Gamma,1.0,0.4,0.28571428571,0.044434570096
2021-01-20,California,State,Other,78.0,31.08,261.0,40.590979782271
2021-01-20,California,State,Total,251.0,100.0,643.0,100.0
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Epsilon,157.0,62.55,368.28571428571,57.276160853144
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Total,88.0,100.0,559.28571428571,100.0
2021-01-21,California,State,Alpha,27.0,30.68,14.57142857142,2.605363984674
2021-01-21,California,State,Delta,1.0,1.14,0.71428571428,0.127713920817
2021-01-21,California,State,Epsilon,43.0,48.86,313.71428571428,56.091954022989
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Other,17.0,19.32,229.85714285714,41.098339719029
2021-01-21,California,State,Omicron,0.0,0.0,0.14285714285,0.025542784163
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.051085568327
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.058910162003
2021-01-22,California,State,Delta,1.0,2.08,0.57142857142,0.117820324006
2021-01-22,California,State,Total,48.0,100.0,485.0,100.0
2021-01-22,California,State,Omicron,0.0,0.0,0.14285714285,0.029455081001
2021-01-22,California,State,Epsilon,28.0,58.33,272.0,56.082474226804
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Other,12.0,25.0,197.57142857142,40.736377025037
2021-01-22,California,State,Alpha,7.0,14.58,14.42857142857,2.974963181149
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.074460163812
2021-01-23,California,State,Omicron,0.0,0.0,0.14285714285,0.037230081906
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-23,California,State,Alpha,11.0,42.31,13.57142857142,3.536857781087
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Other,4.0,15.38,151.14285714285,39.389426656739
2021-01-23,California,State,Total,26.0,100.0,383.71428571428,100.0
2021-01-23,California,State,Delta,0.0,0.0,0.57142857142,0.148920327625
2021-01-23,California,State,Epsilon,11.0,42.31,218.0,56.813104988831
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.041356492969
2021-01-24,California,State,Epsilon,35.0,76.09,197.0,57.030603804797
2021-01-24,California,State,Alpha,7.0,15.22,14.14285714285,4.09429280397
2021-01-24,California,State,Total,46.0,100.0,345.42857142857,100.0
2021-01-24,California,State,Delta,0.0,0.0,0.57142857142,0.165425971878
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Other,4.0,8.7,133.42857142857,38.626964433416
2021-01-24,California,State,Omicron,0.0,0.0,0.14285714285,0.041356492969
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Delta,0.0,0.0,0.42857142857,0.17094017094
2021-01-25,California,State,Epsilon,48.0,57.14,142.42857142857,56.809116809117
2021-01-25,California,State,Alpha,4.0,4.76,12.85714285714,5.128205128205
2021-01-25,California,State,Other,32.0,38.1,94.71428571428,37.777777777778
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Total,84.0,100.0,250.71428571428,100.0
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.05698005698
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-25,California,State,Omicron,0.0,0.0,0.14285714285,0.05698005698
2021-01-26,California,State,Other,217.0,37.8,52.0,32.587287376902
2021-01-26,California,State,Epsilon,347.0,60.45,95.57142857142,59.892569382274
2021-01-26,California,State,Alpha,9.0,1.57,11.42857142857,7.162041181737
2021-01-26,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Delta,1.0,0.17,0.42857142857,0.268576544315
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.089525514772
2021-01-26,California,State,Total,574.0,100.0,159.57142857142,100.0
2021-01-27,California,State,Delta,1.0,0.14,0.57142857142,0.255102040816
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Other,230.0,32.76,73.71428571428,32.908163265306
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Epsilon,459.0,65.38,138.71428571428,61.926020408163
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-27,California,State,Alpha,12.0,1.71,11.0,4.910714285714
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-27,California,State,Total,702.0,100.0,224.0,100.0
2021-01-28,California,State,Gamma,3.0,0.35,0.42857142857,0.127768313458
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Other,305.0,35.14,114.85714285714,34.241908006814
2021-01-28,California,State,Delta,1.0,0.12,0.57142857142,0.170357751278
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Beta,2.0,0.23,0.28571428571,0.085178875639
2021-01-28,California,State,Epsilon,531.0,61.18,208.42857142857,62.137989778535
2021-01-28,California,State,Total,868.0,100.0,335.42857142857,100.0
2021-01-28,California,State,Alpha,26.0,3.0,10.85714285714,3.236797274276
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Total,211.0,100.0,358.71428571428,100.0
2021-01-29,California,State,Other,53.0,25.12,120.71428571428,33.651931501394
2021-01-29,California,State,Alpha,10.0,4.74,11.28571428571,3.146156909598
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.079649542015
2021-01-29,California,State,Epsilon,145.0,68.72,225.14285714285,62.763839107925
2021-01-29,California,State,Gamma,2.0,0.95,0.71428571428,0.199123855038
2021-01-29,California,State,Delta,1.0,0.47,0.57142857142,0.15929908403
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Total,108.0,100.0,370.42857142857,100.0
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.077130736599
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.192826841496
2021-01-30,California,State,Alpha,2.0,1.85,10.0,2.699575780949
2021-01-30,California,State,Delta,0.0,0.0,0.57142857142,0.154261473197
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Epsilon,79.0,73.15,234.85714285714,63.401465483995
